,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
when,30.0,44.0,59.0,79.0,62.0,73.0,141.0,96.0,35.0,23.0,74.0,,94.0,11.0,21.0,57.0,12.0,7.0,25.0,34.0,25.0,27.0,25.0,7.0,25.0,25.0,4.0,78.0,8.0,14.0,16.0,27.0,15.0,49.0,5.0,10.0,11.0,1348.0
sun,5.0,9.0,14.0,16.0,8.0,29.0,8.0,2.0,4.0,1.0,,,,44.0,,7.0,,,1.0,4.0,1.0,,,1.0,,,1.0,,1.0,,,6.0,4.0,8.0,3.0,1.0,,178.0
beats,1.0,1.0,,,,,1.0,1.0,,,3.0,,,,3.0,,,,,,,,,,,4.0,1.0,,,,,2.0,,,,,,17.0
down,19.0,25.0,47.0,36.0,33.0,60.0,84.0,33.0,33.0,17.0,10.0,,38.0,61.0,19.0,15.0,9.0,35.0,,9.0,,10.0,33.0,5.0,12.0,20.0,4.0,40.0,3.0,5.0,11.0,13.0,9.0,21.0,2.0,18.0,30.0,819.0
burns,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,28.0,2.0,,,,,2.0,,,,,,,,35.0
tar,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
up,11.0,4.0,47.0,70.0,69.0,295.0,99.0,195.0,85.0,59.0,75.0,,36.0,2.0,4.0,37.0,33.0,2.0,21.0,18.0,21.0,1.0,36.0,10.0,14.0,5.0,10.0,164.0,11.0,9.0,21.0,9.0,10.0,15.0,57.0,23.0,31.0,1609.0
roof,1.0,1.0,,3.0,3.0,,,6.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,20.0
your,35.0,65.0,117.0,128.0,178.0,485.0,210.0,140.0,83.0,71.0,141.0,22.0,132.0,20.0,81.0,172.0,26.0,41.0,165.0,66.0,165.0,26.0,52.0,215.0,49.0,28.0,56.0,98.0,20.0,9.0,23.0,17.0,108.0,28.0,25.0,91.0,36.0,3424.0
shoes,1.0,1.0,1.0,3.0,2.0,4.0,2.0,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,3.0,27.0
get,20.0,18.0,21.0,63.0,108.0,193.0,60.0,173.0,33.0,64.0,102.0,,49.0,8.0,3.0,36.0,,15.0,7.0,13.0,7.0,5.0,86.0,,7.0,6.0,4.0,81.0,4.0,,17.0,7.0,14.0,9.0,9.0,76.0,18.0,1336.0
hot,2.0,3.0,3.0,2.0,2.0,14.0,6.0,12.0,3.0,1.0,4.0,,,,7.0,5.0,,,,,,,,,2.0,5.0,,,,,,,,,,,2.0,73.0
wish,2.0,5.0,8.0,10.0,10.0,4.0,5.0,9.0,,51.0,,,18.0,1.0,,,,,,,,12.0,6.0,1.0,,6.0,,,1.0,60.0,,,7.0,5.0,,5.0,,226.0
