Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
fuckin',,,,2,,,,31,15,2,24,,,,,1,,,,,,,,,,,,2,,,6,,,,,,,83
tonight,10,2,7,55,5,30,31,30,10,5,13,,48,,8,10,6,40,,2,,,6,,,5,,,2,,,,14,,3,,3,345
que,,,,5,,,16,30,93,92,,,,,,16,,,,,,,,,,,,26,,,,,,3,5,,,286
time,14,47,66,37,51,31,55,29,32,23,37,,173,9,57,7,26,6,11,20,11,,15,13,9,53,4,13,9,1,8,8,29,11,14,18,13,960
day,6,17,40,8,56,21,32,28,10,2,11,,61,21,7,19,7,12,43,1,43,,11,5,3,6,13,6,9,3,4,9,1,25,,2,3,545
only,11,10,18,21,35,44,31,28,21,9,17,,85,2,2,18,6,,1,8,1,11,,9,4,12,1,6,1,3,5,5,,1,1,5,,432
sad,2,4,4,1,2,3,4,28,1,,,,,,,,,,,,,,48,,,,,,,,,2,,,3,,,102
real,,1,6,3,19,21,3,28,6,3,6,,2,2,11,12,5,,,2,,,4,29,,,,22,1,18,20,2,,,,,,226
-,,,1,1,17,18,1,28,28,1,5,,40,,1,,,,,40,,,,,,,7,720,,,11,12,,4,10,,1,946
ayy,,,,,,16,1,28,,6,6,,,,,,,,5,,5,,2,,,,,,,,,,,,,,,69
songs,,,3,3,,2,,28,1,,,7,,5,,,,,,,,,,,,,,,,,2,1,4,,39,,,95
are,26,29,58,48,75,38,53,27,16,27,17,,22,6,10,36,1,2,7,31,7,24,6,,11,3,4,39,29,42,3,6,8,,15,10,13,749
alone,2,6,7,15,7,23,13,27,11,9,,,,1,,19,4,2,,1,,,3,4,4,2,2,,,6,1,2,7,5,,12,6,201
made,1,5,11,17,10,1,13,27,8,1,13,,6,4,,1,,,,,,,2,,7,12,,8,6,,4,1,6,,,,70,234
ass,,,1,2,2,2,5,27,7,,37,,5,,1,6,,,,,,,,,,,,,3,,4,,,,1,,,103
knees,1,3,1,2,,,2,27,,,,,3,,,,,1,,,,,,12,6,,1,,,,,,,,2,,1,62
over,2,27,17,28,40,30,45,26,3,23,12,22,29,8,,15,6,1,7,1,7,3,6,,5,,3,,1,,2,26,,,10,,1,406
bad,,7,5,7,29,41,21,26,20,22,3,,16,,2,11,,,,12,,,2,,1,,,27,2,,1,3,,,,,2,260
young,,2,8,15,,19,15,26,3,4,4,,,,,3,,,,22,,9,2,,,2,2,19,1,5,2,1,,,6,,84,254
whole,,,6,2,4,16,1,26,4,2,13,,,15,,5,,1,,2,,2,,,1,1,,7,,8,2,1,,5,3,,,127
mía,,,,,,,,26,21,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,73
outro,1,8,9,10,14,31,23,25,13,12,3,,23,6,7,11,14,6,1,16,1,1,1,11,8,5,,46,4,11,8,,16,6,4,9,6,370
damn,,,1,1,7,7,4,25,7,1,11,,2,2,,2,,,,,,,,,,,,22,,,4,,,,,12,,108
pain,3,4,12,4,9,2,3,25,21,,,,8,,,,,,1,,1,,9,17,1,2,,,3,7,4,,,,,20,,156
new,,4,15,5,10,17,14,24,4,17,7,,16,1,2,13,48,,42,1,42,9,6,11,,2,2,,1,1,6,3,,,18,26,1,368
fire,,1,6,9,2,3,8,24,2,9,1,,2,,,1,,,7,5,7,7,,4,3,2,4,,3,4,,,,,,12,,126
future,,6,7,,1,1,,24,4,,1,,32,,,5,1,,,2,,,4,,,12,2,12,3,,11,1,7,,4,,,140
bees,,2,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
ooh,,15,9,16,31,9,47,23,30,13,12,,22,1,,23,1,,,2,,2,,,8,12,24,,10,,10,,,10,,15,2,347
way,9,26,36,27,47,49,38,23,9,14,17,,11,,7,15,14,1,3,23,3,1,12,9,2,10,37,12,1,,3,5,7,1,27,2,17,518
did,4,4,11,8,32,17,12,23,6,6,3,,14,,,,,,,2,,1,4,,2,,,,1,,4,1,1,,,,,156
good,1,32,32,5,46,21,23,22,12,6,8,,2,10,7,4,7,,,22,,6,6,,16,,6,,,,5,4,4,,4,,3,314
lost,3,8,13,5,12,3,23,22,5,7,4,,,1,5,4,,,,3,,1,,21,,8,,1,3,1,3,1,7,,,36,,200
hard,2,8,7,12,11,12,15,22,21,1,,22,2,6,,12,24,2,,,,,7,3,13,2,1,38,,,,,,2,3,36,1,285
intro,1,2,2,8,7,17,12,22,16,11,18,,12,,2,11,1,,,17,,,,7,9,1,1,6,,,7,,,,4,,5,199
tú,,,,,,,3,22,48,31,,,,,,3,,,,,,,,,,,,22,,,,,,,,,,129
big,11,1,2,1,1,19,2,22,5,2,,,11,1,5,19,,,,7,,,2,,,1,,2,,,,2,,,4,,5,125
somethin',,,,8,1,2,131,21,6,,51,,,,1,,,,,,,1,,,,,,5,,,4,,,,,,,231
hey,,25,13,27,10,23,63,21,17,89,1,7,2,,7,17,,,4,7,4,,18,26,24,23,6,,4,,21,,,,2,,12,473
boy,14,1,1,5,11,11,54,21,,8,2,,37,1,1,4,1,,14,4,14,5,,,4,,,5,2,,,,,,8,,,228
used,2,3,8,2,7,8,33,21,3,2,,,4,4,,8,18,,14,,14,,6,,,1,,5,,,1,6,,,15,2,,187
him,6,9,19,9,42,51,11,21,10,8,10,,11,,,5,,1,,3,,,12,,,2,1,2,14,,6,,,10,,,3,266
try,2,3,7,5,22,13,10,21,15,29,14,,6,5,11,8,12,,28,,28,,4,,8,2,,4,1,,7,2,4,,,2,2,275
